"GEO_ID","NAME","B08130_001E","B08130_001M","B08130_002E","B08130_002M","B08130_003E","B08130_003M","B08130_004E","B08130_004M","B08130_005E","B08130_005M","B08130_006E","B08130_006M","B08130_007E","B08130_007M","B08130_008E","B08130_008M","B08130_009E","B08130_009M","B08130_010E","B08130_010M","B08130_011E","B08130_011M","B08130_012E","B08130_012M","B08130_013E","B08130_013M","B08130_014E","B08130_014M","B08130_015E","B08130_015M","B08130_016E","B08130_016M","B08130_017E","B08130_017M","B08130_018E","B08130_018M","B08130_019E","B08130_019M","B08130_020E","B08130_020M","B08130_021E","B08130_021M","B08130_022E","B08130_022M","B08130_023E","B08130_023M","B08130_024E","B08130_024M","B08130_025E","B08130_025M","B08130_026E","B08130_026M","B08130_027E","B08130_027M","B08130_028E","B08130_028M","B08130_029E","B08130_029M","B08130_030E","B08130_030M","B08130_031E","B08130_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Worked in state of residence","Margin of Error!!Total!!Worked in state of residence","Estimate!!Total!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Worked outside state of residence","Margin of Error!!Total!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence","Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Walked!!Worked in state of residence","Margin of Error!!Total!!Walked!!Worked in state of residence","Estimate!!Total!!Walked!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Walked!!Worked outside state of residence","Margin of Error!!Total!!Walked!!Worked outside state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0500000US08001","Adams County, Colorado","270854","5685","269354","5781","104045","5178","165309","5563","1500","645","211304","6346","210658","6323","74840","4694","135818","5581","646","296","30502","4244","30065","4275","11143","2562","18922","2862","437","408","9124","1766","9053","1768","832","451","8221","1720","71","120","3475","1018","3475","1018","2677","902","798","564","0","204","3561","982","3215","888","1665","671","1550","662","346","346","12888","2237"
"0500000US22057","Lafourche Parish, Louisiana","41893","2375","41276","2465","24363","1924","16913","2122","617","535","33534","2326","32994","2384","17905","1865","15089","2010","540","527","4057","1286","4057","1286","2899","1069","1158","557","0","217","186","214","186","214","186","214","0","217","0","217","791","473","791","473","791","473","0","217","0","217","1553","821","1476","807","810","595","666","583","77","134","1772","724"
"0500000US36083","Rensselaer County, New York","77338","2309","75004","2409","35114","2495","39890","2789","2334","563","65255","2568","63003","2664","26597","2191","36406","2793","2252","569","4236","1324","4173","1340","2079","962","2094","713","63","81","1993","766","1993","766","975","604","1018","422","0","201","1791","621","1772","621","1641","607","131","154","19","31","483","328","483","328","242","212","241","225","0","201","3580","807"
"0500000US37057","Davidson County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US39089","Licking County, Ohio","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US41029","Jackson County, Oregon","96953","3637","95857","3537","91001","3330","4856","1379","1096","704","73037","4030","72255","3971","67871","3721","4384","1240","782","617","9207","2266","9115","2236","8702","2202","413","439","92","155","1719","682","1719","682","1719","682","0","207","0","207","4490","1679","4394","1691","4335","1676","59","98","96","159","1956","787","1830","760","1830","760","0","207","126","145","6544","1586"
"0500000US45007","Anderson County, South Carolina","91758","3319","90438","3426","59311","3273","31127","2860","1320","489","77045","3471","75949","3589","48242","3179","27707","2769","1096","456","8194","1891","8072","1897","4898","1372","3174","1436","122","149","11","20","11","20","11","20","0","214","0","214","1294","659","1294","659","1259","659","35","59","0","214","1142","540","1040","541","829","457","211","257","102","125","4072","1437"
"0500000US48135","Ector County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48423","Smith County, Texas","102703","3744","102023","3771","88929","3936","13094","2485","680","402","87056","4335","86737","4331","76022","4577","10715","1874","319","242","8064","2187","7846","2171","5727","1563","2119","1337","218","250","549","401","549","401","549","401","0","228","0","228","547","457","547","457","547","457","0","228","0","228","1323","781","1180","757","920","642","260","354","143","229","5164","1804"
"0500000US48469","Victoria County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US55127","Walworth County, Wisconsin","54678","1532","50367","1586","34140","1684","16227","1647","4311","806","45002","2229","40978","2260","25649","1854","15329","1696","4024","809","3896","1196","3728","1142","2963","995","765","408","168","145","143","102","56","57","18","30","38","48","87","80","2103","695","2087","695","2076","691","11","19","16","26","696","407","680","404","596","365","84","138","16","26","2838","680"
"0500000US04001","Apache County, Arizona","17481","1255","15321","1268","13282","1253","2039","646","2160","425","13647","1200","11606","1143","9929","1190","1677","604","2041","431","1180","528","1161","530","879","512","282","205","19","33","70","75","70","75","70","75","0","211","0","211","966","358","938","365","938","365","0","211","28","49","500","214","428","192","348","191","80","82","72","94","1118","392"
"0500000US04015","Mohave County, Arizona","71587","4489","58654","3898","57354","3804","1300","489","12933","2311","56544","4341","46103","3746","45239","3687","864","410","10441","2247","7621","1578","5671","1420","5426","1387","245","268","1950","844","407","302","407","302","407","302","0","211","0","211","761","465","761","465","680","434","81","140","0","211","2015","1065","1473","973","1363","953","110","132","542","387","4239","1337"
"0500000US04019","Pima County, Arizona","450472","7778","444582","7824","434627","7794","9955","1871","5890","1679","345883","7553","342175","7573","333894","7519","8281","1710","3708","1481","45268","3983","44805","3930","43539","3893","1266","541","463","299","9647","1962","9647","1962","9612","1958","35","58","0","211","9573","1534","9134","1502","9024","1504","110","126","439","331","15224","2405","13944","2314","13681","2304","263","255","1280","582","24877","2833"
"0500000US06095","Solano County, California","214362","4554","213957","4561","122476","4940","91481","3958","405","207","161545","5503","161372","5472","93868","4373","67504","4127","173","148","29292","3026","29186","3034","12235","1807","16951","2518","106","128","7116","1682","7116","1682","1002","747","6114","1441","0","211","2543","876","2543","876","2304","838","239","249","0","211","3013","974","2887","948","2214","812","673","386","126","121","10853","1991"
"0500000US12095","Orange County, Florida","692794","9539","685883","9720","595794","9526","90089","6388","6911","1816","559498","11346","555585","11497","475876","11809","79709","6003","3913","1154","68654","7121","68241","7136","61275","6633","6966","2232","413","300","11553","2452","11525","2458","10675","2212","850","692","28","48","7265","1615","6966","1612","6966","1612","0","229","299","232","14964","3014","12706","2796","10142","2808","2564","1086","2258","1267","30860","3441"
"0500000US13077","Coweta County, Georgia","70543","3583","69594","3531","37588","3073","32006","2907","949","541","58014","4057","57352","4072","29631","3227","27721","2731","662","448","5721","1747","5605","1758","2480","1041","3125","1251","116","199","420","343","420","343","56","80","364","303","0","226","1462","1328","1462","1328","1390","1322","72","125","0","226","2497","1329","2326","1303","1602","1184","724","686","171","218","2429","883"
