"","Day_1","Day_10","Day_30","Day_60"
"01001",1,10,32,149
"01003",1,3,71,227
"01005",1,10,43,173
"01007",2,9,42,71
"01009",1,9,31,49
"01011",2,2,12,111
"01013",1,1,19,335
"01015",1,3,63,130
"01017",1,17,236,328
"01019",1,5,12,33
"01021",1,15,47,86
"01023",1,4,25,141
"01025",2,13,32,142
"01027",1,8,19,27
"01029",1,7,12,13
"01031",3,20,117,236
"01033",1,5,22,125
"01035",1,3,9,39
"01037",2,6,29,33
"01039",2,4,32,67
"01041",1,2,10,58
"01043",1,7,42,69
"01045",1,6,27,110
"01047",2,7,29,191
"01049",1,13,61,221
"01051",1,6,30,152
"01053",1,3,22,43
"01055",3,21,120,228
"01057",1,1,5,13
"01059",1,3,18,411
"01061",1,4,15,46
"01063",1,6,44,91
"01065",1,7,41,151
"01067",2,11,26,80
"01069",1,9,73,154
"01071",1,5,38,64
"01073",2,71,579,1131
"01075",1,1,8,15
"01077",1,12,23,115
"01079",1,4,12,41
"01081",1,26,250,436
"01083",1,1,36,57
"01085",1,3,36,186
"01087",1,6,34,67
"01089",1,43,194,274
"01091",1,8,39,133
"01093",1,9,61,106
"01095",1,17,258,645
"01097",1,34,627,1701
"01099",1,5,12,34
"01101",1,3,106,642
"01103",2,22,50,144
"01105",2,9,18,47
"01107",1,11,44,88
"01109",1,10,57,130
"01111",1,11,60,124
"01113",1,4,54,125
"01115",1,6,49,88
"01117",2,27,230,381
"01119",1,17,55,213
"01121",1,4,40,78
"01123",1,14,228,384
"01125",1,7,100,284
"01127",1,28,83,126
"01129",1,4,15,61
"01131",1,6,52,113
"01133",2,3,10,67
"02020",1,5,112,194
"02050",1,1,1,3
"02090",2,11,79,85
"02110",1,10,26,30
"02122",1,5,15,24
"02130",1,11,15,16
"02150",1,1,1,4
"02170",2,4,19,22
"02180",1,1,1,5
"02195",1,1,3,3
"02198",1,2,2,2
"02220",1,1,1,14
"02240",1,1,1,3
"02290",1,1,1,1
"04001",3,17,178,1023
"04003",1,4,24,46
"04005",1,41,299,839
"04007",1,3,11,24
"04009",1,2,2,20
"04011",1,1,2,4
"04012",2,2,8,50
"04013",1,1,1,251
"04015",2,12,73,304
"04017",1,43,390,1177
"04019",1,5,415,1465
"04021",1,5,89,468
"04023",1,2,15,75
"04025",1,13,69,262
"04027",1,9,24,405
"05001",1,1,2,3
"05003",1,5,13,19
"05005",1,3,5,7
"05007",1,29,62,149
"05009",1,1,3,4
"05011",1,4,7,15
"05015",1,2,5,24
"05017",1,2,7,13
"05019",1,18,27,35
"05021",1,1,3,5
"05023",1,41,70,72
"05025",1,4,8,15
"05027",1,2,5,20
"05029",1,3,7,14
"05031",1,4,40,140
"05033",1,3,4,12
"05035",1,15,127,234
"05037",1,3,9,42
"05039",1,1,1,3
"05041",1,2,6,18
"05043",1,3,10,19
"05045",1,28,59,91
"05047",1,1,2,4
"05049",1,1,6,9
"05051",2,11,102,121
"05053",1,3,11,16
"05055",1,3,6,24
"05057",1,3,5,14
"05059",1,5,8,29
"05061",2,4,13,16
"05063",1,3,7,25
"05065",1,2,10,17
"05067",1,1,1,14
"05069",1,19,91,226
"05071",1,11,29,38
"05073",1,2,8,9
"05075",1,3,29,81
"05077",1,2,3,19
"05079",1,4,56,949
"05083",1,2,2,11
"05085",4,15,31,46
"05087",1,1,1,50
"05089",1,1,1,2
"05091",1,20,33,42
"05093",1,7,20,75
"05095",1,1,4,5
"05099",1,1,1,5
"05101",1,1,3,3
"05103",1,5,7,10
"05105",1,2,6,14
"05107",1,4,6,24
"05109",1,2,3,4
"05111",1,3,10,26
"05113",1,2,7,8
"05115",1,3,33,73
"05117",1,2,2,2
"05119",5,28,236,627
"05121",2,3,15,26
"05123",1,31,82,660
"05125",1,4,32,76
"05127",1,1,1,1
"05129",1,4,6,6
"05131",1,4,11,16
"05133",1,1,8,28
"05135",1,2,9,46
"05137",2,5,7,8
"05139",1,10,28,144
"05141",1,17,26,28
"05143",1,13,44,141
"05145",4,22,29,37
"05147",1,1,1,1
"05149",1,1,6,183
"06001",1,25,304,1589
"06003",1,2,1,2
"06005",1,1,6,8
"06007",1,8,16,26
"06009",2,3,12,13
"06011",1,2,3,5
"06013",1,9,250,907
"06015",1,2,3,45
"06017",2,15,36,67
"06019",1,2,108,724
"06021",1,2,5,13
"06023",1,1,2,52
"06025",4,25,155,876
"06027",1,10,19,20
"06029",1,33,553,1438
"06031",1,5,52,688
"06033",2,5,8,30
"06037",1,1,1,799
"06039",1,1,30,54
"06041",1,1,65,223
"06045",1,2,4,13
"06047",1,16,94,251
"06051",2,18,24,34
