"","Day_1","Day_10","Day_30","Day_60"
"01001",0,0,2,3
"01003",0,0,1,7
"01005",0,0,1,1
"01007",0,0,0,1
"01009",0,0,0,1
"01011",0,0,0,1
"01013",0,0,0,11
"01015",0,0,1,3
"01017",0,0,11,22
"01019",0,0,0,2
"01021",0,0,1,1
"01023",0,0,0,4
"01025",0,0,1,2
"01027",0,0,1,2
"01029",0,0,1,1
"01031",0,0,0,1
"01033",0,0,1,2
"01035",0,0,0,1
"01037",0,0,1,1
"01039",0,0,0,1
"01041",0,0,0,2
"01043",0,0,0,0
"01045",0,0,0,0
"01047",0,0,2,3
"01049",0,0,2,3
"01051",0,0,0,4
"01053",0,0,1,3
"01055",0,2,8,10
"01057",0,0,0,0
"01059",0,0,0,5
"01061",0,0,0,0
"01063",0,0,0,4
"01065",0,0,2,7
"01067",0,0,1,2
"01069",0,1,3,3
"01071",0,1,2,2
"01073",0,0,15,61
"01075",0,0,0,0
"01077",0,1,4,2
"01079",0,0,0,0
"01081",0,0,9,30
"01083",0,0,0,0
"01085",0,0,1,10
"01087",0,1,2,2
"01089",0,1,4,4
"01091",0,0,3,6
"01093",0,0,5,9
"01095",0,0,4,9
"01097",0,1,25,101
"01099",0,0,1,2
"01101",0,0,4,15
"01103",0,0,0,1
"01105",0,0,0,0
"01107",0,0,1,4
"01109",0,0,0,0
"01111",0,1,4,7
"01113",0,0,0,0
"01115",0,0,0,1
"01117",0,0,5,18
"01119",0,0,2,6
"01121",0,0,1,2
"01123",0,1,14,59
"01125",0,0,0,4
"01127",0,0,0,0
"01129",0,0,1,5
"01131",0,0,0,7
"01133",0,0,0,0
"02020",0,0,4,4
"02050",0,0,0,0
"02090",0,0,2,2
"02110",0,0,0,0
"02122",0,0,0,1
"02130",0,0,0,0
"02150",0,0,0,0
"02170",0,0,1,1
"02180",0,0,0,0
"02195",0,0,0,0
"02198",0,0,0,0
"02220",0,0,0,0
"02240",0,0,0,0
"02290",0,0,0,0
"04001",0,0,4,20
"04003",0,0,0,1
"04005",0,2,26,64
"04007",0,0,0,2
"04009",0,0,0,0
"04011",0,0,0,0
"04012",0,0,1,2
"04013",0,0,0,2
"04015",0,0,3,34
"04017",0,0,10,48
"04019",0,0,13,118
"04021",0,0,0,13
"04023",0,0,0,0
"04025",0,0,1,5
"04027",0,0,1,4
"05001",0,0,0,0
"05003",0,0,0,0
"05005",0,0,0,0
"05007",0,0,0,0
"05009",0,0,0,0
"05011",0,0,0,1
"05015",0,0,0,1
"05017",0,0,0,0
"05019",0,0,0,0
"05021",0,0,0,0
"05023",0,1,4,4
"05025",0,0,0,0
"05027",0,0,0,2
"05029",0,1,1,1
"05031",0,0,1,0
"05033",0,0,0,0
"05035",0,0,4,7
"05037",0,0,0,0
"05039",0,0,0,0
"05041",0,0,0,0
"05043",0,0,1,1
"05045",0,0,2,3
"05047",0,0,0,0
"05049",0,0,0,0
"05051",0,0,0,1
"05053",0,0,0,0
"05055",0,0,0,0
"05057",0,0,1,1
"05059",0,0,0,0
"05061",0,0,0,0
"05063",0,0,0,0
"05065",0,0,0,1
"05067",0,0,0,0
"05069",0,0,1,19
"05071",0,0,0,0
"05073",0,0,1,1
"05075",0,0,1,5
"05077",0,0,1,1
"05079",0,0,0,8
"05083",0,0,0,0
"05085",0,0,0,0
"05087",0,0,0,0
"05089",0,0,0,0
"05091",0,0,1,1
"05093",0,0,0,2
"05095",0,0,0,0
"05099",0,0,0,0
"05101",0,0,0,0
"05103",0,0,0,0
"05105",0,0,0,0
"05107",0,1,1,1
"05109",0,0,0,0
"05111",0,0,0,2
"05113",0,0,0,0
"05115",0,0,0,0
"05117",0,0,0,0
"05119",0,0,8,23
"05121",0,0,0,0
"05123",0,0,0,1
"05125",0,0,1,1
"05127",0,0,0,0
"05129",0,0,0,0
"05131",0,0,0,0
"05133",0,0,0,1
"05135",0,0,0,2
"05137",0,0,0,0
"05139",0,0,0,4
"05141",0,0,2,2
"05143",0,0,0,5
"05145",0,0,1,1
"05147",0,0,0,0
"05149",0,0,1,1
"06001",0,0,7,59
"06003",0,0,0,0
"06005",0,0,0,0
"06007",0,0,0,0
"06009",0,0,0,0
"06011",0,0,0,0
"06013",0,0,3,28
"06015",0,0,0,0
"06017",0,0,0,0
"06019",0,0,1,9
"06021",0,0,0,0
"06023",0,0,0,0
"06025",0,0,2,14
