"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","POPESTIMATE2019","NPOPCHG_2019","BIRTHS2019","DEATHS2019","NATURALINC2019","INTERNATIONALMIG2019","DOMESTICMIG2019","NETMIG2019","RESIDUAL2019","GQESTIMATES2019","RDEATH2019","RNATURALINC2019","RINTERNATIONALMIG2019","RDOMESTICMIG2019","RNETMIG2019","WorkersInCommutingFlow"
45001,"Abbeville","South Carolina","US","2020-05-24 02:32:43",34.22333378,-82.46170658,35,0,0,35,"Abbeville, South Carolina, US",24527,-60,231,275,-44,-11,-3,-14,-2,904,11.198436291,-1.791749807,-0.447937452,-0.12216476,-0.570102211,5673
22001,"Acadia","Louisiana","US","2020-05-24 02:32:43",30.2950649,-92.41419698,289,15,0,274,"Acadia, Louisiana, US",62045,-169,816,690,126,17,-312,-295,0,1050,11.105835392,2.0280221151,0.2736220314,-5.021769047,-4.748147016,15643
51001,"Accomack","Virginia","US","2020-05-24 02:32:43",37.76707161,-75.63234615,722,11,0,711,"Accomack, Virginia, US",32316,-265,384,489,-105,30,-186,-156,-4,430,15.070034054,-3.235896883,0.9245419665,-5.732160192,-4.807618226,13136
16001,"Ada","Idaho","US","2020-05-24 02:32:43",43.4526575,-116.2415516,794,23,0,771,"Ada, Idaho, US",481587,12823,4980,3055,1925,26,10815,10841,57,11386,6.4292035259,4.0511347913,0.0547166258,22.760011827,22.814728453,215983
19001,"Adair","Iowa","US","2020-05-24 02:32:43",41.33075609,-94.47105874,7,0,0,7,"Adair, Iowa, US",7152,78,84,77,7,2,71,73,-2,150,10.825249543,0.9841135948,0.2811753128,9.9817236047,10.262898917,2968
21001,"Adair","Kentucky","US","2020-05-24 02:32:43",37.10459774,-85.28129668,96,18,0,78,"Adair, Kentucky, US",19202,3,184,216,-32,-1,38,37,-2,1187,11.249707039,-1.666623265,-0.052081977,1.9791151272,1.9270331502,5504
29001,"Adair","Missouri","US","2020-05-24 02:32:43",40.19058551,-92.60078167,38,0,0,38,"Adair, Missouri, US",25343,-133,267,193,74,99,-307,-208,1,2914,7.5955843287,2.912296582,3.8961805624,-12.08209528,-8.185914717,11712
40001,"Adair","Oklahoma","US","2020-05-24 02:32:43",35.88494195,-94.65859267,82,3,0,79,"Adair, Oklahoma, US",22194,-30,309,285,24,3,-58,-55,1,92,12.832635418,1.0806429826,0.1350803728,-2.611553875,-2.476473502,6280
8001,"Adams","Colorado","US","2020-05-24 02:32:43",39.87432092,-104.3362578,2856,112,0,2744,"Adams, Colorado, US",517421,6067,6777,3208,3569,1204,1283,2487,11,4036,6.2365434619,6.9383490073,2.3406478579,2.4942285728,4.8348764307,175518
16003,"Adams","Idaho","US","2020-05-24 02:32:43",44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",4294,60,31,27,4,1,56,57,-1,21,6.3320825516,0.9380863039,0.234521576,13.133208255,13.367729831,1216
