"FIPS","County","State","Lat","Long","Confirmed","Deaths","Recovered","Active","Name","POPESTIMATE2019","NPOPCHG_2019","BIRTHS2019","DEATHS2019","NATURALINC2019","INTERNATIONALMIG2019","DOMESTICMIG2019","NETMIG2019","CommutingIn","TotEmp","QPayroll","APayroll","Establishments"
45001,"Abbeville","South Carolina",34.22333378,-82.46170658,35,0,0,35,"Abbeville, South Carolina, US",24527,-60,231,275,-44,-11,-3,-14,5673,14027,110246,453424,1641
22001,"Acadia","Louisiana",30.2950649,-92.41419698,289,15,0,274,"Acadia, Louisiana, US",62045,-169,816,690,126,17,-312,-295,15643,66211,501682,2053533,6199
51001,"Accomack","Virginia",37.76707161,-75.63234615,722,11,0,711,"Accomack, Virginia, US",32316,-265,384,489,-105,30,-186,-156,13136,43546,295760,1282316,4050
16001,"Ada","Idaho",43.4526575,-116.2415516,794,23,0,771,"Ada, Idaho, US",481587,12823,4980,3055,1925,26,10815,10841,215983,1122200,12019270,50981403,81943
19001,"Adair","Iowa",41.33075609,-94.47105874,7,0,0,7,"Adair, Iowa, US",7152,78,84,77,7,2,71,73,2968,6739,43614,188457,900
21001,"Adair","Kentucky",37.10459774,-85.28129668,96,18,0,78,"Adair, Kentucky, US",19202,3,184,216,-32,-1,38,37,5504,13387,90240,369764,1403
29001,"Adair","Missouri",40.19058551,-92.60078167,38,0,0,38,"Adair, Missouri, US",25343,-133,267,193,74,99,-307,-208,11712,30806,222055,910414,3224
40001,"Adair","Oklahoma",35.88494195,-94.65859267,82,3,0,79,"Adair, Oklahoma, US",22194,-30,309,285,24,3,-58,-55,6280,10073,69566,282175,992
8001,"Adams","Colorado",39.87432092,-104.3362578,2856,112,0,2744,"Adams, Colorado, US",517421,6067,6777,3208,3569,1204,1283,2487,175518,990924,11496335,48226456,59774
16003,"Adams","Idaho",44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",4294,60,31,27,4,1,56,57,1216,1613,10765,51357,415
17001,"Adams","Illinois",39.98815591,-91.18786813,44,1,0,43,"Adams, Illinois, US",65435,-188,776,850,-74,18,-131,-113,34891,152486,1438722,6099616,10287
18001,"Adams","Indiana",40.7457653,-84.93671406,12,1,0,11,"Adams, Indiana, US",35777,182,676,261,415,8,-239,-231,14115,48421,379368,1615465,3913
19003,"Adams","Iowa",41.02903567,-94.69932645,4,0,0,4,"Adams, Iowa, US",3602,-42,29,38,-9,0,-35,-35,1587,2914,27028,110738,385
28001,"Adams","Mississippi",31.47669768,-91.35326037,181,15,0,166,"Adams, Mississippi, US",30693,-351,340,429,-89,151,-414,-263,11415,47990,370646,1475754,4324
31001,"Adams","Nebraska",40.5244942,-98.50117804,264,11,0,253,"Adams, Nebraska, US",31363,-151,391,316,75,59,-286,-227,15253,60292,478464,2086539,5224
39001,"Adams","Ohio",38.84541072,-83.4718964,8,1,0,7,"Adams, Ohio, US",27698,4,346,326,20,5,-21,-16,7109,17492,125579,539207,1983
42001,"Adams","Pennsylvania",39.87140411,-77.21610347,222,6,0,216,"Adams, Pennsylvania, US",103009,-53,960,1013,-53,54,-50,4,34853,140341,1165943,4973107,11171
53001,"Adams","Washington",46.98299757,-118.5601734,50,0,0,50,"Adams, Washington, US",19983,247,388,100,288,24,-65,-41,7733,19756,175192,831246,1835
55001,"Adams","Wisconsin",43.96974651,-89.76782777,4,1,0,3,"Adams, Wisconsin, US",20220,-121,123,252,-129,8,1,9,4373,11786,72517,344400,1590
50001,"Addison","Vermont",44.03217337,-73.14130877,62,2,0,60,"Addison, Vermont, US",36777,-96,299,341,-42,20,-72,-52,16116,49739,460533,2018090,6421
45003,"Aiken","South Carolina",33.54338026,-81.63645384,169,7,0,162,"Aiken, South Carolina, US",170872,1423,1830,1824,6,140,1272,1412,64571,220632,2055833,8518964,16220
27001,"Aitkin","Minnesota",46.60962049,-93.4116826,6,0,0,6,"Aitkin, Minnesota, US",15886,-1,124,207,-83,-1,84,83,4961,13372,85311,385889,1961
12001,"Alachua","Florida",29.67866525,-82.35928158,355,7,0,348,"Alachua, Florida, US",269043,192,2775,2081,694,798,-1302,-504,130130,543796,5520716,22645857,36606
37001,"Alamance","North Carolina",36.0434701,-79.39976137,268,20,0,248,"Alamance, North Carolina, US",169509,2995,1976,1646,330,67,2588,2655,61254,297306,2577319,10804701,19270
6001,"Alameda","California",37.64629437,-121.8929271,2760,92,0,2668,"Alameda, California, US",1671329,4573,18628,10944,7684,8540,-11626,-3086,699741,4017517,69562656,284035628,240019
8003,"Alamosa","Colorado",37.57250606,-105.7885451,55,2,0,53,"Alamosa, Colorado, US",16233,-15,198,115,83,-4,-93,-97,8340,24584,199796,815535,2607
36001,"Albany","New York",42.60060306,-73.97723916,1770,76,0,1694,"Albany, New York, US",305506,-1079,3024,2776,248,546,-1872,-1326,221934,1036064,12703765,51441941,56653
56001,"Albany","Wyoming",41.65498705,-105.7235415,14,0,0,14,"Albany, Wyoming, US",38880,152,341,198,143,259,-253,6,19737,46713,362738,1529387,5696
51003,"Albemarle","Virginia",38.02080697,-78.55481085,143,5,0,138,"Albemarle, Virginia, US",109330,953,1061,894,167,133,656,789,55872,218549,2468502,9982727,16314
26001,"Alcona","Michigan",44.6846864,-83.59507875,10,1,0,9,"Alcona, Michigan, US",10405,45,57,167,-110,3,150,153,2021,4600,33237,149942,786
28003,"Alcorn","Mississippi",34.88084463,-88.57996173,15,1,0,14,"Alcorn, Mississippi, US",36953,143,411,457,-46,-7,197,190,14949,53223,407812,1704498,4129
17003,"Alexander","Illinois",37.18049267,-89.32910838,8,0,0,8,"Alexander, Illinois, US",5761,-280,54,72,-18,0,-263,-263,1780,2146,17977,71844,307
37003,"Alexander","North Carolina",35.9223796,-81.17751948,27,0,0,27,"Alexander, North Carolina, US",37497,166,363,399,-36,0,203,203,10362,37984,294839,1227043,2901
51510,"Alexandria","Virginia",38.814003,-77.08183073,1703,38,0,1665,"Alexandria, Virginia, US",159428,359,2566,782,1784,1208,-2615,-1407,99181,469373,7450151,29696460,27467
40003,"Alfalfa","Oklahoma",36.73090616,-98.32408495,1,0,0,1,"Alfalfa, Oklahoma, US",5702,-63,47,54,-7,6,-62,-56,2335,3441,29534,124983,575
19005,"Allamakee","Iowa",43.28383218,-91.37860922,118,4,0,114,"Allamakee, Iowa, US",13687,-165,192,178,14,16,-194,-178,5310,14852,112009,507199,1936
26005,"Allegan","Michigan",42.59147037,-85.89102866,202,7,0,195,"Allegan, Michigan, US",118081,908,1285,925,360,49,504,553,41136,182345,1867184,8146257,13648
24001,"Allegany","Maryland",39.62357628,-78.69280486,168,14,0,154,"Allegany, Maryland, US",70416,-525,640,874,-234,42,-332,-290,32388,111362,860775,3656611,8709
36003,"Allegany","New York",42.25748406,-78.02750466,44,0,0,44,"Allegany, New York, US",46091,-241,445,460,-15,28,-254,-226,16746,46440,306233,1344282,4057
37005,"Alleghany","North Carolina",36.49360862,-81.12857041,13,0,0,13,"Alleghany, North Carolina, US",11137,-1,99,133,-34,5,29,34,4016,8444,53605,238150,1124
51005,"Alleghany","Virginia",37.78636074,-80.00222498,13,2,0,11,"Alleghany, Virginia, US",14860,-126,121,238,-117,-5,-3,-8,6499,10291,70686,285834,1132
42003,"Allegheny","Pennsylvania",40.46809875,-79.98167747,1753,158,0,1595,"Allegheny, Pennsylvania, US",1216045,-1236,12668,13695,-1027,2392,-2543,-151,688112,4215800,57256354,222864369,202097
18003,"Allen","Indiana",41.09194313,-85.06800636,1213,65,0,1148,"Allen, Indiana, US",379299,4220,5155,3162,1993,747,1492,2239,180250,1007583,10546603,42231527,54565
20001,"Allen","Kansas",37.88582951,-95.30030847,1,0,0,1,"Allen, Kansas, US",12369,-132,138,161,-23,8,-115,-107,6518,15144,118703,472406,1842
21003,"Allen","Kentucky",36.75197631,-86.19457544,47,2,0,45,"Allen, Kentucky, US",21315,193,239,242,-3,1,195,196,5652,10358,72262,300550,1034
22003,"Allen","Louisiana",30.65385745,-92.82442028,182,10,0,172,"Allen, Louisiana, US",25627,60,315,242,73,-3,-9,-12,8103,13515,93744,380133,1482
39003,"Allen","Ohio",40.77285242,-84.10802343,184,31,0,153,"Allen, Ohio, US",102351,-374,1214,1079,135,-8,-501,-509,52798,240472,2309523,9272144,13708
45005,"Allendale","South Carolina",32.98837386,-81.35321066,34,3,0,31,"Allendale, South Carolina, US",8688,-236,81,102,-21,9,-226,-217,3003,4540,49791,187821,496
26007,"Alpena","Michigan",45.03477666,-83.62212411,94,9,0,85,"Alpena, Michigan, US",28405,21,280,342,-62,8,76,84,12933,44586,351624,1524870,4094
6003,"Alpine","California",38.59678594,-119.8223594,2,0,0,2,"Alpine, California, US",1129,40,10,5,5,1,35,36,689,669,3825,12308,85
6005,"Amador","California",38.44583082,-120.65696,10,0,0,10,"Amador, California, US",39752,347,307,427,-120,17,451,468,11906,37380,304423,1294520,4482
51007,"Amelia","Virginia",37.34081025,-77.98584649,22,1,0,21,"Amelia, Virginia, US",13145,88,150,150,0,1,88,89,2800,7961,55334,234370,1311
51009,"Amherst","Virginia",37.60308293,-79.14548696,25,0,0,25,"Amherst, Virginia, US",31605,-79,306,382,-76,1,0,1,9477,24245,186472,771082,2958
28005,"Amite","Mississippi",31.17467303,-90.80501621,50,1,0,49,"Amite, Mississippi, US",12297,-30,125,145,-20,-2,-7,-9,2248,5310,42438,171386,787
2020,"Anchorage","Alaska",61.14998174,-149.1426986,206,4,0,202,"Anchorage, Alaska, US",288000,-2521,3923,1847,2076,364,-4972,-4608,166563,835285,12243666,50011883,52133
20003,"Anderson","Kansas",38.21413251,-95.29272815,1,0,0,1,"Anderson, Kansas, US",7858,10,102,96,6,-4,8,4,2312,4819,32914,138687,871
21005,"Anderson","Kentucky",38.00671029,-84.99171713,15,1,0,14,"Anderson, Kentucky, US",22747,106,252,211,41,6,59,65,4961,12889,93796,390730,1574
45007,"Anderson","South Carolina",34.51828081,-82.63959517,218,8,0,210,"Anderson, South Carolina, US",202558,2266,2266,2200,66,67,2133,2200,67805,308936,2774925,11372615,22112
47001,"Anderson","Tennessee",36.12684348,-84.19965764,39,1,0,38,"Anderson, Tennessee, US",76978,691,792,932,-140,51,783,834,46938,181361,2436441,10141552,8834
48001,"Anderson","Texas",31.81534745,-95.65354823,63,0,0,63,"Anderson, Texas, US",57735,-239,588,754,-166,32,-104,-72,19817,50834,419257,1738845,4844
29003,"Andrew","Missouri",39.98492163,-94.80163024,20,0,0,20,"Andrew, Missouri, US",17712,50,190,161,29,-2,24,22,2717,6880,48428,211455,1341
48003,"Andrews","Texas",32.30468633,-102.6376548,22,0,0,22,"Andrews, Texas, US",18705,694,286,189,97,14,583,597,7791,25894,366622,1575514,2084
23001,"Androscoggin","Maine",44.1664747,-70.20380627,227,2,0,225,"Androscoggin, Maine, US",108277,363,1208,1084,124,92,150,242,49061,222457,2104237,8811367,16128
48005,"Angelina","Texas",31.25457347,-94.60901487,168,2,0,166,"Angelina, Texas, US",86715,-95,1071,997,74,6,-173,-167,36651,145545,1186162,4874211,10663
24003,"Anne Arundel","Maryland",39.00670238,-76.60329337,3282,150,0,3132,"Anne Arundel, Maryland, US",579234,3711,6782,4661,2121,436,1162,1598,284090,1355761,18314129,73359000,85481
27003,"Anoka","Minnesota",45.27476015,-93.24604565,1092,55,0,1037,"Anoka, Minnesota, US",356921,3480,4218,2166,2052,234,1216,1450,119433,660969,6980811,29729183,46691
37007,"Anson","North Carolina",34.97403241,-80.09953279,58,0,0,58,"Anson, North Carolina, US",24446,-24,253,272,-19,29,-33,-4,8046,20225,130515,535745,1987
31003,"Antelope","Nebraska",42.17695516,-98.0666283,7,0,0,7,"Antelope, Nebraska, US",6298,-10,80,59,21,4,-35,-31,2794,6221,48483,220580,1080
